station_id,date,pollutant,value
8,2022-07-14,NO2,
1,2022-07-13,NO2,
2,2022-07-13,C6H6,1.3
2,2022-07-13,NO2,26.0
2,2022-07-13,O3,131.0
2,2022-07-13,PM10,18.0
2,2022-07-13,PM25,9.0
2,2022-07-13,SO2,2.5
3,2022-07-13,CO_8h,0.25
3,2022-07-13,NO2,48.0
4,2022-07-13,C6H6,0.5
4,2022-07-13,CO_8h,0.5
4,2022-07-13,NO2,67.0
4,2022-07-13,PM10,
4,2022-07-13,PM25,
5,2022-07-13,NO2,
5,2022-07-13,O3,
6,2022-07-13,C6H6,0.5
6,2022-07-13,CO_8h,0.6
6,2022-07-13,NO2,32.0
6,2022-07-13,PM10,24.0
6,2022-07-13,PM25,13.0
7,2022-07-13,NO2,32.0
7,2022-07-13,O3,146.0
7,2022-07-13,PM10,19.0
8,2022-07-13,C6H6,
8,2022-07-13,CO_8h,
8,2022-07-13,NO2,
1,2022-07-12,NO2,
2,2022-07-12,C6H6,1.5
2,2022-07-12,NO2,46.0
2,2022-07-12,O3,128.0
2,2022-07-12,PM10,17.0
2,2022-07-12,PM25,9.0
2,2022-07-12,SO2,2.5
3,2022-07-12,CO_8h,0.25
3,2022-07-12,NO2,57.0
4,2022-07-12,C6H6,0.5
4,2022-07-12,CO_8h,
4,2022-07-12,NO2,68.0
4,2022-07-12,PM10,
4,2022-07-12,PM25,
5,2022-07-12,NO2,
5,2022-07-12,O3,
6,2022-07-12,C6H6,0.5
6,2022-07-12,CO_8h,0.6
6,2022-07-12,NO2,53.0
6,2022-07-12,PM10,24.0
6,2022-07-12,PM25,13.0
7,2022-07-12,NO2,46.0
7,2022-07-12,O3,143.0
7,2022-07-12,PM10,18.0
8,2022-07-12,C6H6,
8,2022-07-12,CO_8h,
8,2022-07-12,NO2,
1,2022-07-08,NO2,
2,2022-07-08,C6H6,2.0
2,2022-07-08,NO2,41.0
2,2022-07-08,O3,137.0
2,2022-07-08,PM10,21.0
2,2022-07-08,PM25,12.0
2,2022-07-08,SO2,2.5
3,2022-07-08,CO_8h,0.5
3,2022-07-08,NO2,56.0
4,2022-07-08,C6H6,
4,2022-07-08,CO_8h,
4,2022-07-08,NO2,
4,2022-07-08,PM10,
4,2022-07-08,PM25,
5,2022-07-08,NO2,
5,2022-07-08,O3,
6,2022-07-08,C6H6,0.5
6,2022-07-08,CO_8h,0.6
6,2022-07-08,NO2,40.0
6,2022-07-08,PM10,23.0
6,2022-07-08,PM25,16.0
7,2022-07-08,NO2,37.0
7,2022-07-08,O3,167.0
7,2022-07-08,PM10,17.0
8,2022-07-08,C6H6,
8,2022-07-08,CO_8h,
8,2022-07-08,NO2,
1,2022-07-07,NO2,
2,2022-07-07,C6H6,1.8
2,2022-07-07,NO2,29.0
2,2022-07-07,O3,129.0
2,2022-07-07,PM10,15.0
2,2022-07-07,PM25,9.0
2,2022-07-07,SO2,2.5
3,2022-07-07,CO_8h,0.25
3,2022-07-07,NO2,49.0
4,2022-07-07,C6H6,
4,2022-07-07,CO_8h,
4,2022-07-07,NO2,
4,2022-07-07,PM10,
4,2022-07-07,PM25,
5,2022-07-07,NO2,
5,2022-07-07,O3,
6,2022-07-07,C6H6,0.5
6,2022-07-07,CO_8h,0.6
6,2022-07-07,NO2,29.0
6,2022-07-07,PM10,21.0
6,2022-07-07,PM25,14.0
7,2022-07-07,NO2,31.0
7,2022-07-07,O3,142.0
7,2022-07-07,PM10,18.0
8,2022-07-07,C6H6,
8,2022-07-07,CO_8h,
8,2022-07-07,NO2,
1,2022-07-06,NO2,
2,2022-07-06,C6H6,1.6
2,2022-07-06,NO2,47.0
2,2022-07-06,O3,128.0
2,2022-07-06,PM10,16.0
2,2022-07-06,PM25,10.0
2,2022-07-06,SO2,2.5
3,2022-07-06,CO_8h,0.25
3,2022-07-06,NO2,59.0
4,2022-07-06,C6H6,
4,2022-07-06,CO_8h,
4,2022-07-06,NO2,
4,2022-07-06,PM10,
4,2022-07-06,PM25,
5,2022-07-06,NO2,
5,2022-07-06,O3,
6,2022-07-06,C6H6,0.5
6,2022-07-06,CO_8h,0.6
6,2022-07-06,NO2,42.0
6,2022-07-06,PM10,23.0
6,2022-07-06,PM25,14.0
7,2022-07-06,NO2,41.0
7,2022-07-06,O3,134.0
7,2022-07-06,PM10,16.0
8,2022-07-06,C6H6,
8,2022-07-06,CO_8h,
8,2022-07-06,NO2,
1,2022-07-05,NO2,
2,2022-07-05,C6H6,0.5
2,2022-07-05,NO2,60.0
2,2022-07-05,O3,134.0
2,2022-07-05,PM10,28.0
2,2022-07-05,PM25,13.0
2,2022-07-05,SO2,2.5
3,2022-07-05,CO_8h,0.5
3,2022-07-05,NO2,70.0
4,2022-07-05,C6H6,
4,2022-07-05,CO_8h,
4,2022-07-05,NO2,
4,2022-07-05,PM10,
4,2022-07-05,PM25,
5,2022-07-05,NO2,
5,2022-07-05,O3,
6,2022-07-05,C6H6,0.5
6,2022-07-05,CO_8h,0.6
6,2022-07-05,NO2,56.0
6,2022-07-05,PM10,31.0
6,2022-07-05,PM25,18.0
7,2022-07-05,NO2,59.0
7,2022-07-05,O3,154.0
7,2022-07-05,PM10,23.0
8,2022-07-05,C6H6,
8,2022-07-05,CO_8h,
8,2022-07-05,NO2,
1,2022-07-04,NO2,
2,2022-07-04,C6H6,1.5
2,2022-07-04,NO2,64.0
2,2022-07-04,O3,149.0
2,2022-07-04,PM10,26.0
2,2022-07-04,PM25,15.0
2,2022-07-04,SO2,7.0
3,2022-07-04,CO_8h,0.9
3,2022-07-04,NO2,81.0
4,2022-07-04,C6H6,0.5
4,2022-07-04,CO_8h,0.6
4,2022-07-04,NO2,47.0
4,2022-07-04,PM10,27.0
4,2022-07-04,PM25,14.0
5,2022-07-04,NO2,
5,2022-07-04,O3,
6,2022-07-04,C6H6,1.1
6,2022-07-04,CO_8h,0.6
6,2022-07-04,NO2,39.0
6,2022-07-04,PM10,29.0
6,2022-07-04,PM25,18.0
7,2022-07-04,NO2,40.0
7,2022-07-04,O3,161.0
7,2022-07-04,PM10,20.0
8,2022-07-04,C6H6,
8,2022-07-04,CO_8h,
8,2022-07-04,NO2,
1,2022-07-01,NO2,
2,2022-07-01,C6H6,
2,2022-07-01,NO2,23.0
2,2022-07-01,O3,136.0
2,2022-07-01,PM10,
2,2022-07-01,PM25,
2,2022-07-01,SO2,2.5
3,2022-07-01,CO_8h,0.25
3,2022-07-01,NO2,52.0
4,2022-07-01,C6H6,0.5
4,2022-07-01,CO_8h,0.6
4,2022-07-01,NO2,25.0
4,2022-07-01,PM10,22.0
4,2022-07-01,PM25,9.0
5,2022-07-01,NO2,
5,2022-07-01,O3,
6,2022-07-01,C6H6,0.5
6,2022-07-01,CO_8h,0.6
6,2022-07-01,NO2,23.0
6,2022-07-01,PM10,30.0
6,2022-07-01,PM25,15.0
7,2022-07-01,NO2,29.0
7,2022-07-01,O3,149.0
7,2022-07-01,PM10,18.0
8,2022-07-01,C6H6,
8,2022-07-01,CO_8h,
8,2022-07-01,NO2,
1,2022-06-30,NO2,
2,2022-06-30,C6H6,
2,2022-06-30,NO2,32.0
2,2022-06-30,O3,130.0
2,2022-06-30,PM10,
2,2022-06-30,PM25,
2,2022-06-30,SO2,12.0
3,2022-06-30,CO_8h,0.25
3,2022-06-30,NO2,41.0
4,2022-06-30,C6H6,0.5
4,2022-06-30,CO_8h,0.6
4,2022-06-30,NO2,27.0
4,2022-06-30,PM10,20.0
4,2022-06-30,PM25,7.0
5,2022-06-30,NO2,
5,2022-06-30,O3,
6,2022-06-30,C6H6,0.5
6,2022-06-30,CO_8h,0.5
6,2022-06-30,NO2,31.0
6,2022-06-30,PM10,26.0
6,2022-06-30,PM25,19.0
7,2022-06-30,NO2,28.0
7,2022-06-30,O3,135.0
7,2022-06-30,PM10,18.0
8,2022-06-30,C6H6,
8,2022-06-30,CO_8h,
8,2022-06-30,NO2,
1,2022-06-29,NO2,
2,2022-06-29,C6H6,
2,2022-06-29,NO2,63.0
2,2022-06-29,O3,122.0
2,2022-06-29,PM10,
2,2022-06-29,PM25,
2,2022-06-29,SO2,9.0
3,2022-06-29,CO_8h,0.5
3,2022-06-29,NO2,63.0
4,2022-06-29,C6H6,1.3
4,2022-06-29,CO_8h,0.8
4,2022-06-29,NO2,65.0
4,2022-06-29,PM10,45.0
4,2022-06-29,PM25,14.0
5,2022-06-29,NO2,
5,2022-06-29,O3,
6,2022-06-29,C6H6,1.2
6,2022-06-29,CO_8h,0.6
6,2022-06-29,NO2,57.0
6,2022-06-29,PM10,44.0
6,2022-06-29,PM25,20.0
7,2022-06-29,NO2,58.0
7,2022-06-29,O3,113.0
7,2022-06-29,PM10,37.0
8,2022-06-29,C6H6,
8,2022-06-29,CO_8h,
8,2022-06-29,NO2,
1,2022-06-28,NO2,
2,2022-06-28,C6H6,
2,2022-06-28,NO2,45.0
2,2022-06-28,O3,122.0
2,2022-06-28,PM10,38.0
2,2022-06-28,PM25,15.0
2,2022-06-28,SO2,2.5
3,2022-06-28,CO_8h,0.25
3,2022-06-28,NO2,78.0
4,2022-06-28,C6H6,1.0
4,2022-06-28,CO_8h,0.7
4,2022-06-28,NO2,60.0
4,2022-06-28,PM10,40.0
4,2022-06-28,PM25,14.0
5,2022-06-28,NO2,
5,2022-06-28,O3,
6,2022-06-28,C6H6,0.5
6,2022-06-28,CO_8h,0.5
6,2022-06-28,NO2,35.0
6,2022-06-28,PM10,39.0
6,2022-06-28,PM25,18.0
7,2022-06-28,NO2,42.0
7,2022-06-28,O3,131.0
7,2022-06-28,PM10,31.0
8,2022-06-28,C6H6,
8,2022-06-28,CO_8h,
8,2022-06-28,NO2,
1,2022-06-27,NO2,
2,2022-06-27,C6H6,
2,2022-06-27,NO2,57.0
2,2022-06-27,O3,115.0
2,2022-06-27,PM10,20.0
2,2022-06-27,PM25,12.0
2,2022-06-27,SO2,5.0
3,2022-06-27,CO_8h,0.25
3,2022-06-27,NO2,56.0
4,2022-06-27,C6H6,0.5
4,2022-06-27,CO_8h,0.7
4,2022-06-27,NO2,41.0
4,2022-06-27,PM10,22.0
4,2022-06-27,PM25,9.0
5,2022-06-27,NO2,
5,2022-06-27,O3,
6,2022-06-27,C6H6,0.5
6,2022-06-27,CO_8h,0.5
6,2022-06-27,NO2,28.0
6,2022-06-27,PM10,23.0
6,2022-06-27,PM25,13.0
7,2022-06-27,NO2,32.0
7,2022-06-27,O3,122.0
7,2022-06-27,PM10,19.0
8,2022-06-27,C6H6,
8,2022-06-27,CO_8h,
8,2022-06-27,NO2,
1,2022-06-24,NO2,
2,2022-06-24,C6H6,
2,2022-06-24,NO2,46.0
2,2022-06-24,O3,104.0
2,2022-06-24,PM10,36.0
2,2022-06-24,PM25,
2,2022-06-24,SO2,2.5
3,2022-06-24,CO_8h,0.5
3,2022-06-24,NO2,50.0
4,2022-06-24,C6H6,0.5
4,2022-06-24,CO_8h,0.8
4,2022-06-24,NO2,42.0
4,2022-06-24,PM10,37.0
4,2022-06-24,PM25,15.0
5,2022-06-24,NO2,
5,2022-06-24,O3,
6,2022-06-24,C6H6,0.5
6,2022-06-24,CO_8h,0.6
6,2022-06-24,NO2,42.0
6,2022-06-24,PM10,44.0
6,2022-06-24,PM25,22.0
7,2022-06-24,NO2,49.0
7,2022-06-24,O3,106.0
7,2022-06-24,PM10,35.0
8,2022-06-24,C6H6,
8,2022-06-24,CO_8h,
8,2022-06-24,NO2,
1,2022-06-23,NO2,
2,2022-06-23,C6H6,
2,2022-06-23,NO2,57.0
2,2022-06-23,O3,111.0
2,2022-06-23,PM10,29.0
2,2022-06-23,PM25,
2,2022-06-23,SO2,2.5
3,2022-06-23,CO_8h,0.5
3,2022-06-23,NO2,58.0
4,2022-06-23,C6H6,0.5
4,2022-06-23,CO_8h,0.7
4,2022-06-23,NO2,64.0
4,2022-06-23,PM10,34.0
4,2022-06-23,PM25,14.0
5,2022-06-23,NO2,
5,2022-06-23,O3,
6,2022-06-23,C6H6,0.5
6,2022-06-23,CO_8h,0.6
6,2022-06-23,NO2,49.0
6,2022-06-23,PM10,36.0
6,2022-06-23,PM25,23.0
7,2022-06-23,NO2,55.0
7,2022-06-23,O3,111.0
7,2022-06-23,PM10,30.0
8,2022-06-23,C6H6,
8,2022-06-23,CO_8h,
8,2022-06-23,NO2,
1,2022-06-22,NO2,
2,2022-06-22,C6H6,
2,2022-06-22,NO2,25.0
2,2022-06-22,O3,116.0
2,2022-06-22,PM10,31.0
2,2022-06-22,PM25,
2,2022-06-22,SO2,5.0
3,2022-06-22,CO_8h,0.25
3,2022-06-22,NO2,27.0
4,2022-06-22,C6H6,0.5
4,2022-06-22,CO_8h,0.5
4,2022-06-22,NO2,19.0
4,2022-06-22,PM10,26.0
4,2022-06-22,PM25,11.0
5,2022-06-22,NO2,
5,2022-06-22,O3,
6,2022-06-22,C6H6,0.5
6,2022-06-22,CO_8h,0.5
6,2022-06-22,NO2,26.0
6,2022-06-22,PM10,28.0
6,2022-06-22,PM25,9.0
7,2022-06-22,NO2,33.0
7,2022-06-22,O3,114.0
7,2022-06-22,PM10,22.0
8,2022-06-22,C6H6,
8,2022-06-22,CO_8h,
8,2022-06-22,NO2,
1,2022-06-21,NO2,
2,2022-06-21,C6H6,
2,2022-06-21,NO2,53.0
2,2022-06-21,O3,123.0
2,2022-06-21,PM10,34.0
2,2022-06-21,PM25,16.0
2,2022-06-21,SO2,7.0
3,2022-06-21,CO_8h,0.25
3,2022-06-21,NO2,39.0
4,2022-06-21,C6H6,0.5
4,2022-06-21,CO_8h,0.5
4,2022-06-21,NO2,33.0
4,2022-06-21,PM10,32.0
4,2022-06-21,PM25,14.0
5,2022-06-21,NO2,
5,2022-06-21,O3,
6,2022-06-21,C6H6,0.5
6,2022-06-21,CO_8h,0.5
6,2022-06-21,NO2,42.0
6,2022-06-21,PM10,29.0
6,2022-06-21,PM25,16.0
7,2022-06-21,NO2,44.0
7,2022-06-21,O3,140.0
7,2022-06-21,PM10,23.0
8,2022-06-21,C6H6,
8,2022-06-21,CO_8h,
8,2022-06-21,NO2,
1,2022-06-20,NO2,
2,2022-06-20,C6H6,
2,2022-06-20,NO2,36.0
2,2022-06-20,O3,151.0
2,2022-06-20,PM10,24.0
2,2022-06-20,PM25,14.0
2,2022-06-20,SO2,2.5
3,2022-06-20,CO_8h,0.25
3,2022-06-20,NO2,35.0
4,2022-06-20,C6H6,0.5
4,2022-06-20,CO_8h,0.7
4,2022-06-20,NO2,44.0
4,2022-06-20,PM10,29.0
4,2022-06-20,PM25,13.0
5,2022-06-20,NO2,
5,2022-06-20,O3,
6,2022-06-20,C6H6,0.5
6,2022-06-20,CO_8h,0.5
6,2022-06-20,NO2,27.0
6,2022-06-20,PM10,27.0
6,2022-06-20,PM25,18.0
7,2022-06-20,NO2,26.0
7,2022-06-20,O3,186.0
7,2022-06-20,PM10,21.0
8,2022-06-20,C6H6,
8,2022-06-20,CO_8h,
8,2022-06-20,NO2,
1,2022-06-17,NO2,
2,2022-06-17,C6H6,
2,2022-06-17,NO2,52.0
2,2022-06-17,O3,176.0
2,2022-06-17,PM10,
2,2022-06-17,PM25,
2,2022-06-17,SO2,5.0
3,2022-06-17,CO_8h,0.5
3,2022-06-17,NO2,64.0
4,2022-06-17,C6H6,0.5
4,2022-06-17,CO_8h,0.6
4,2022-06-17,NO2,67.0
4,2022-06-17,PM10,38.0
4,2022-06-17,PM25,17.0
5,2022-06-17,NO2,
5,2022-06-17,O3,
6,2022-06-17,C6H6,1.2
6,2022-06-17,CO_8h,0.9
6,2022-06-17,NO2,57.0
6,2022-06-17,PM10,39.0
6,2022-06-17,PM25,24.0
7,2022-06-17,NO2,51.0
7,2022-06-17,O3,196.0
7,2022-06-17,PM10,31.0
8,2022-06-17,C6H6,
8,2022-06-17,CO_8h,
8,2022-06-17,NO2,
1,2022-06-16,NO2,
2,2022-06-16,C6H6,
2,2022-06-16,NO2,
2,2022-06-16,O3,154.0
2,2022-06-16,PM10,
2,2022-06-16,PM25,
2,2022-06-16,SO2,2.5
3,2022-06-16,CO_8h,0.5
3,2022-06-16,NO2,68.0
4,2022-06-16,C6H6,1.0
4,2022-06-16,CO_8h,0.7
4,2022-06-16,NO2,55.0
4,2022-06-16,PM10,32.0
4,2022-06-16,PM25,14.0
5,2022-06-16,NO2,
5,2022-06-16,O3,
6,2022-06-16,C6H6,0.5
6,2022-06-16,CO_8h,0.9
6,2022-06-16,NO2,54.0
6,2022-06-16,PM10,34.0
6,2022-06-16,PM25,20.0
7,2022-06-16,NO2,50.0
7,2022-06-16,O3,168.0
7,2022-06-16,PM10,27.0
8,2022-06-16,C6H6,
8,2022-06-16,CO_8h,
8,2022-06-16,NO2,
1,2022-06-15,NO2,
2,2022-06-15,C6H6,
2,2022-06-15,NO2,
2,2022-06-15,O3,142.0
2,2022-06-15,PM10,
2,2022-06-15,PM25,
2,2022-06-15,SO2,2.5
3,2022-06-15,CO_8h,0.25
3,2022-06-15,NO2,60.0
4,2022-06-15,C6H6,1.1
4,2022-06-15,CO_8h,0.7
4,2022-06-15,NO2,53.0
4,2022-06-15,PM10,31.0
4,2022-06-15,PM25,15.0
5,2022-06-15,NO2,
5,2022-06-15,O3,
6,2022-06-15,C6H6,1.0
6,2022-06-15,CO_8h,0.9
6,2022-06-15,NO2,46.0
6,2022-06-15,PM10,
6,2022-06-15,PM25,
7,2022-06-15,NO2,50.0
7,2022-06-15,O3,167.0
7,2022-06-15,PM10,24.0
8,2022-06-15,C6H6,
8,2022-06-15,CO_8h,
8,2022-06-15,NO2,
1,2022-06-14,NO2,
2,2022-06-14,C6H6,1.5
2,2022-06-14,NO2,
2,2022-06-14,O3,161.0
2,2022-06-14,PM10,29.0
2,2022-06-14,PM25,14.0
2,2022-06-14,SO2,2.5
3,2022-06-14,CO_8h,0.5
3,2022-06-14,NO2,77.0
4,2022-06-14,C6H6,1.1
4,2022-06-14,CO_8h,0.7
4,2022-06-14,NO2,67.0
4,2022-06-14,PM10,28.0
4,2022-06-14,PM25,15.0
5,2022-06-14,NO2,
5,2022-06-14,O3,
6,2022-06-14,C6H6,1.2
6,2022-06-14,CO_8h,0.9
6,2022-06-14,NO2,69.0
6,2022-06-14,PM10,30.0
6,2022-06-14,PM25,20.0
7,2022-06-14,NO2,62.0
7,2022-06-14,O3,191.0
7,2022-06-14,PM10,
8,2022-06-14,C6H6,
8,2022-06-14,CO_8h,
8,2022-06-14,NO2,
1,2022-06-13,NO2,
2,2022-06-13,C6H6,1.6
2,2022-06-13,NO2,
2,2022-06-13,O3,148.0
2,2022-06-13,PM10,18.0
2,2022-06-13,PM25,11.0
2,2022-06-13,SO2,2.5
3,2022-06-13,CO_8h,0.5
3,2022-06-13,NO2,93.0
4,2022-06-13,C6H6,0.5
4,2022-06-13,CO_8h,0.7
4,2022-06-13,NO2,66.0
4,2022-06-13,PM10,22.0
4,2022-06-13,PM25,11.0
5,2022-06-13,NO2,
5,2022-06-13,O3,
6,2022-06-13,C6H6,0.5
6,2022-06-13,CO_8h,0.8
6,2022-06-13,NO2,47.0
6,2022-06-13,PM10,22.0
6,2022-06-13,PM25,18.0
7,2022-06-13,NO2,48.0
7,2022-06-13,O3,173.0
7,2022-06-13,PM10,
8,2022-06-13,C6H6,
8,2022-06-13,CO_8h,
8,2022-06-13,NO2,
1,2022-06-10,NO2,
2,2022-06-10,C6H6,0.5
2,2022-06-10,NO2,
2,2022-06-10,O3,93.0
2,2022-06-10,PM10,13.0
2,2022-06-10,PM25,6.0
2,2022-06-10,SO2,2.5
3,2022-06-10,CO_8h,0.7
3,2022-06-10,NO2,50.0
4,2022-06-10,C6H6,0.5
4,2022-06-10,CO_8h,0.6
4,2022-06-10,NO2,35.0
4,2022-06-10,PM10,14.0
4,2022-06-10,PM25,6.0
5,2022-06-10,NO2,
5,2022-06-10,O3,
6,2022-06-10,C6H6,1.2
6,2022-06-10,CO_8h,0.9
6,2022-06-10,NO2,45.0
6,2022-06-10,PM10,10.0
6,2022-06-10,PM25,5.0
7,2022-06-10,NO2,
7,2022-06-10,O3,
7,2022-06-10,PM10,
8,2022-06-10,C6H6,
8,2022-06-10,CO_8h,
8,2022-06-10,NO2,
1,2022-06-09,NO2,
2,2022-06-09,C6H6,1.0
2,2022-06-09,NO2,
2,2022-06-09,O3,97.0
2,2022-06-09,PM10,14.0
2,2022-06-09,PM25,6.0
2,2022-06-09,SO2,2.5
3,2022-06-09,CO_8h,0.7
3,2022-06-09,NO2,82.0
4,2022-06-09,C6H6,1.2
4,2022-06-09,CO_8h,0.6
4,2022-06-09,NO2,60.0
4,2022-06-09,PM10,19.0
4,2022-06-09,PM25,8.0
5,2022-06-09,NO2,
5,2022-06-09,O3,
6,2022-06-09,C6H6,1.1
6,2022-06-09,CO_8h,0.9
6,2022-06-09,NO2,47.0
6,2022-06-09,PM10,15.0
6,2022-06-09,PM25,9.0
7,2022-06-09,NO2,
7,2022-06-09,O3,
7,2022-06-09,PM10,
8,2022-06-09,C6H6,
8,2022-06-09,CO_8h,
8,2022-06-09,NO2,
1,2022-06-08,NO2,
2,2022-06-08,C6H6,1.0
2,2022-06-08,NO2,
2,2022-06-08,O3,114.0
2,2022-06-08,PM10,13.0
2,2022-06-08,PM25,7.0
2,2022-06-08,SO2,2.5
3,2022-06-08,CO_8h,0.5
3,2022-06-08,NO2,51.0
4,2022-06-08,C6H6,1.1
4,2022-06-08,CO_8h,0.6
4,2022-06-08,NO2,48.0
4,2022-06-08,PM10,22.0
4,2022-06-08,PM25,8.0
5,2022-06-08,NO2,
5,2022-06-08,O3,
6,2022-06-08,C6H6,0.5
6,2022-06-08,CO_8h,0.8
6,2022-06-08,NO2,39.0
6,2022-06-08,PM10,20.0
6,2022-06-08,PM25,12.0
7,2022-06-08,NO2,
7,2022-06-08,O3,
7,2022-06-08,PM10,
8,2022-06-08,C6H6,
8,2022-06-08,CO_8h,
8,2022-06-08,NO2,
1,2022-06-07,NO2,
2,2022-06-07,C6H6,1.5
2,2022-06-07,NO2,43.0
2,2022-06-07,O3,129.0
2,2022-06-07,PM10,21.0
2,2022-06-07,PM25,9.0
2,2022-06-07,SO2,2.5
3,2022-06-07,CO_8h,0.5
3,2022-06-07,NO2,59.0
4,2022-06-07,C6H6,1.3
4,2022-06-07,CO_8h,0.6
4,2022-06-07,NO2,47.0
4,2022-06-07,PM10,32.0
4,2022-06-07,PM25,9.0
5,2022-06-07,NO2,
5,2022-06-07,O3,
6,2022-06-07,C6H6,1.1
6,2022-06-07,CO_8h,0.9
6,2022-06-07,NO2,53.0
6,2022-06-07,PM10,24.0
6,2022-06-07,PM25,11.0
7,2022-06-07,NO2,
7,2022-06-07,O3,
7,2022-06-07,PM10,
8,2022-06-07,C6H6,
8,2022-06-07,CO_8h,
8,2022-06-07,NO2,
1,2022-06-06,NO2,
2,2022-06-06,C6H6,1.5
2,2022-06-06,NO2,45.0
2,2022-06-06,O3,111.0
2,2022-06-06,PM10,29.0
2,2022-06-06,PM25,13.0
2,2022-06-06,SO2,2.5
3,2022-06-06,CO_8h,0.9
3,2022-06-06,NO2,79.0
4,2022-06-06,C6H6,1.0
4,2022-06-06,CO_8h,0.8
4,2022-06-06,NO2,58.0
4,2022-06-06,PM10,36.0
4,2022-06-06,PM25,15.0
5,2022-06-06,NO2,
5,2022-06-06,O3,
6,2022-06-06,C6H6,1.0
6,2022-06-06,CO_8h,0.9
6,2022-06-06,NO2,53.0
6,2022-06-06,PM10,35.0
6,2022-06-06,PM25,21.0
7,2022-06-06,NO2,66.0
7,2022-06-06,O3,130.0
7,2022-06-06,PM10,32.0
8,2022-06-06,C6H6,
8,2022-06-06,CO_8h,
8,2022-06-06,NO2,
1,2022-06-01,NO2,
2,2022-06-01,C6H6,0.5
2,2022-06-01,NO2,
2,2022-06-01,O3,100.0
2,2022-06-01,PM10,29.0
2,2022-06-01,PM25,16.0
2,2022-06-01,SO2,2.5
3,2022-06-01,CO_8h,0.7
3,2022-06-01,NO2,63.0
4,2022-06-01,C6H6,1.1
4,2022-06-01,CO_8h,0.7
4,2022-06-01,NO2,40.0
4,2022-06-01,PM10,33.0
4,2022-06-01,PM25,17.0
5,2022-06-01,NO2,
5,2022-06-01,O3,
6,2022-06-01,C6H6,1.0
6,2022-06-01,CO_8h,0.8
6,2022-06-01,NO2,56.0
6,2022-06-01,PM10,32.0
6,2022-06-01,PM25,21.0
7,2022-06-01,NO2,50.0
7,2022-06-01,O3,113.0
7,2022-06-01,PM10,30.0
8,2022-06-01,C6H6,
8,2022-06-01,CO_8h,
8,2022-06-01,NO2,
1,2022-05-31,NO2,
2,2022-05-31,C6H6,0.5
2,2022-05-31,NO2,
2,2022-05-31,O3,83.0
2,2022-05-31,PM10,15.0
2,2022-05-31,PM25,7.0
2,2022-05-31,SO2,2.5
3,2022-05-31,CO_8h,0.25
3,2022-05-31,NO2,41.0
4,2022-05-31,C6H6,0.5
4,2022-05-31,CO_8h,0.6
4,2022-05-31,NO2,45.0
4,2022-05-31,PM10,19.0
4,2022-05-31,PM25,7.0
5,2022-05-31,NO2,
5,2022-05-31,O3,
6,2022-05-31,C6H6,0.5
6,2022-05-31,CO_8h,0.7
6,2022-05-31,NO2,37.0
6,2022-05-31,PM10,15.0
6,2022-05-31,PM25,10.0
7,2022-05-31,NO2,39.0
7,2022-05-31,O3,93.0
7,2022-05-31,PM10,16.0
8,2022-05-31,C6H6,
8,2022-05-31,CO_8h,
8,2022-05-31,NO2,
1,2022-05-30,NO2,
2,2022-05-30,C6H6,0.5
2,2022-05-30,NO2,
2,2022-05-30,O3,84.0
2,2022-05-30,PM10,11.0
2,2022-05-30,PM25,6.0
2,2022-05-30,SO2,2.5
3,2022-05-30,CO_8h,0.25
3,2022-05-30,NO2,24.0
4,2022-05-30,C6H6,0.5
4,2022-05-30,CO_8h,0.5
4,2022-05-30,NO2,28.0
4,2022-05-30,PM10,18.0
4,2022-05-30,PM25,7.0
5,2022-05-30,NO2,
5,2022-05-30,O3,
6,2022-05-30,C6H6,0.5
6,2022-05-30,CO_8h,0.7
6,2022-05-30,NO2,20.0
6,2022-05-30,PM10,13.0
6,2022-05-30,PM25,7.0
7,2022-05-30,NO2,21.0
7,2022-05-30,O3,97.0
7,2022-05-30,PM10,11.0
8,2022-05-30,C6H6,
8,2022-05-30,CO_8h,
8,2022-05-30,NO2,
1,2022-05-27,NO2,
2,2022-05-27,C6H6,1.8
2,2022-05-27,NO2,41.0
2,2022-05-27,O3,116.0
2,2022-05-27,PM10,29.0
2,2022-05-27,PM25,14.0
2,2022-05-27,SO2,2.5
3,2022-05-27,CO_8h,
3,2022-05-27,NO2,
4,2022-05-27,C6H6,1.4
4,2022-05-27,CO_8h,0.7
4,2022-05-27,NO2,53.0
4,2022-05-27,PM10,33.0
4,2022-05-27,PM25,15.0
5,2022-05-27,NO2,
5,2022-05-27,O3,
6,2022-05-27,C6H6,1.3
6,2022-05-27,CO_8h,0.8
6,2022-05-27,NO2,49.0
6,2022-05-27,PM10,40.0
6,2022-05-27,PM25,25.0
7,2022-05-27,NO2,56.0
7,2022-05-27,O3,134.0
7,2022-05-27,PM10,36.0
8,2022-05-27,C6H6,
8,2022-05-27,CO_8h,
8,2022-05-27,NO2,
1,2022-05-26,NO2,
2,2022-05-26,C6H6,0.5
2,2022-05-26,NO2,29.0
2,2022-05-26,O3,103.0
2,2022-05-26,PM10,19.0
2,2022-05-26,PM25,10.0
2,2022-05-26,SO2,2.5
3,2022-05-26,CO_8h,
3,2022-05-26,NO2,
4,2022-05-26,C6H6,0.5
4,2022-05-26,CO_8h,0.7
4,2022-05-26,NO2,51.0
4,2022-05-26,PM10,21.0
4,2022-05-26,PM25,10.0
5,2022-05-26,NO2,
5,2022-05-26,O3,
